,Symbol,Name,Sector,Clearing Type,Shares,Free Float,Listed In
114,EFUL,EFU Life Assurance Ltd.,INSURANCE,NC,"100,000,001","10,000,000",ALLSHR
115,ELCM,Elahi Cotton Mills Ltd,TEXTILE SPINNING,NC,"1,300,000","260,000",ALLSHRKMIALLSHR
116,ELSM,Ellcot Spinning Mills Ltd.,TEXTILE SPINNING,NC,"10,950,000","3,285,000",ALLSHR
117,EMCO,Emco Industries Ltd.,CABLE & ELECTRICAL GOODS,NC,"34,999,667","10,500,000",ALLSHRKMIALLSHR
118,ENGRO,Engro Corporation Ltd.,FERTILIZER,NC,"576,163,230","288,081,615",ALLSHRKMI30KMIALLSHRKSE100KSE30MZNPINBPPGINITPGIUPP9
119,EPCL,Engro Polymer & Chemicals.,CHEMICAL,NC,"908,923,333","227,230,833",ALLSHRKMI30KMIALLSHRKSE100KSE30NBPPGIPSXDIV20
120,EPCLPS,Engro Polymer Preference.,CHEMICAL,NC,"300,000,000","300,000,000",ALLSHR
121,EPQL,Engro Powergen Qadirpur Ltd.,POWER GENERATION & DISTRIBUTION,NC,"323,800,000","97,140,000",ALLSHRPSXDIV20
122,ESBL,Escorts Investment  Bank Ltd,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"135,600,000","20,340,000",ALLSHR
123,EWIC,East West Insurance Co,INSURANCE,NC,"175,891,401","35,178,278",ALLSHR
124,EXIDE,Exide Pakistan Ltd XD,AUTOMOBILE PARTS & ACCESSORIES,NC,"7,768,618","1,942,155",ALLSHRKMIALLSHR
125,FABL,Faysal Bank Ltd.,COMMERCIAL BANKS,NC,"1,517,696,526","379,424,131",ALLSHRBKTIKMIALLSHRKSE100PSXDIV20
126,FANM,AL-Noor Modaraba 1st.,MODARABAS,NC,"23,100,000","12,705,000",ALLSHR
127,FASM,Faisal Spinning Mills Ltd.,TEXTILE COMPOSITE,NC,"10,000,000","1,000,000",ALLSHR
128,FATIMA,Fatima Fertilizer Company Ltd.,FERTILIZER,NC,"2,100,000,000","315,000,000",ALLSHRKMIALLSHRKSE100
129,FCCL,Fauji Cement Co. Ltd.,CEMENT,NC,"2,452,847,220","858,496,527",ALLSHRKMI30KMIALLSHRKSE100
130,FCEPL,Frieslandcampina Engro Pakistan,FOOD & PERSONAL CARE PRODUCTS,NC,"766,596,075","76,659,608",ALLSHRKMIALLSHRKSE100
131,FCIBL,First Credit & Investment Bank Ltd,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"65,000,000","26,000,000",ALLSHR
132,FCONM,Constellation Modaraba 1st,MODARABAS,NC,"6,462,500","2,261,875",ALLSHR
133,FCSC,First Capital Securities Corp. Ltd,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"316,610,115","174,135,562",ALLSHR
134,FDIBL,First Dawood Investment Bank Ltd,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"148,390,023","140,970,522",ALLSHR
135,FECM,Elite Capital Modaraba 1st.,MODARABAS,NC,"11,340,000","7,938,000",ALLSHRKMIALLSHR
136,FECTC,Fecto Cement Ltd,CEMENT,NC,"50,160,000","12,540,000",ALLSHRKMIALLSHR
137,FEM,Equity Modaraba 1st.,MODARABAS,NC,"52,440,000","36,708,000",ALLSHRKMIALLSHR
138,FEROZ,Ferozsons Laboratories Ltd.,PHARMACEUTICALS,NC,"43,469,051","17,387,621",ALLSHRKMIALLSHR
139,FFBL,Fauji Fertilizer Bin Qasim Ltd,FERTILIZER,NC,"1,291,252,857","451,938,500",ALLSHRKMIALLSHRKSE100
140,FFC,Fauji Fertilizer Company Ltd.,FERTILIZER,NC,"1,272,238,147","699,731,036",ALLSHRKSE100KSE30NBPPGINITPGIPSXDIV20UPP9
141,FFL,Fauji Foods Limited.,FOOD & PERSONAL CARE PRODUCTS,NC,"2,519,963,139","503,992,628",ALLSHR
142,FFLM,First Fidelity Leasing Modaraba,MODARABAS,NC,"26,413,804","17,168,973",ALLSHRKMIALLSHR
143,FHAM,Habib Modaraba 1st.,MODARABAS,NC,"221,661,000","199,494,900",ALLSHRKMIALLSHRKSE100
144,FIBLM,IBL Modaraba 1st,MODARABAS,NC,"21,687,500","16,265,625",ALLSHRKMIALLSHR
145,FIMM,Imrooz Modaraba 1st.,MODARABAS,NC,"3,000,000","600,000",ALLSHRKMIALLSHR
146,FLYNG,Flying Cement Co. Ltd.,CEMENT,NC,"694,800,000","277,920,000",ALLSHRKMIALLSHR
147,FML,Feroze1888 Mills Ltd.,TEXTILE COMPOSITE,NC,"399,409,026","39,940,903",ALLSHRKMIALLSHR
148,FNEL,First National Equities Ltd,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"267,286,331","147,007,482",ALLSHR
149,FPJM,Punjab Modaraba 1st,MODARABAS,NC,"34,020,000","13,608,000",ALLSHRKMIALLSHR
